,e2'_es,e2'_nl,Dev_en,e3'_en,Dev_de,e3'_de,Dev_es,e3'_es,Dev_nl,e3'_nl,Dev_zh,e3'_zh,Dev_en_de_zh,e3_es,e3_nl,embedd_sim
model-seed_942465-lr_5e-05-ep_7,0.2217855137563166,0.15914737805675416,0.055983908816627515,0.08924485125858117,0.1480291345329906,0.18436536845054652,0.2496029044701611,0.2655966503838103,0.18944844124700244,0.2222981281595845,0.1104763847801693,0.13336719146775,0.1048298093765958,0.043811136627493696,0.06315075010283033,0.9301828145980835
model-seed_776563-lr_0.0001-ep_4,0.21320224719101122,0.18929303278688525,0.06608593684563202,0.099001226563869,0.16854663774403467,0.2043980828869466,0.25775280898876407,0.25616381111575426,0.20899417787592856,0.2475409836065573,0.12546672804460135,0.16765609007164806,0.12003310087808934,0.04296156392474304,0.058247950819672045,0.9277585744857788
model-seed_456459-lr_3e-05-ep_4,0.21551020408163246,0.1477851822814582,0.058882653488566916,0.09481624418910617,0.1504330161445525,0.18753493571827828,0.2377442769402568,0.2561549100968188,0.17863572714542908,0.21216234559522174,0.12477654629960677,0.1406774488861764,0.1113640719775754,0.04064470601518633,0.06437716331376353,0.895092248916626
model-seed_957177-lr_5e-05-ep_7,0.21736740862874415,0.19329284393979407,0.05543460056941896,0.09285588906441988,0.14825488312520008,0.1968723820161966,0.25614271289128254,0.2567474048442907,0.18771194893277487,0.22175618996076307,0.10649138897381039,0.14644351464435146,0.1033936242228098,0.03937999621554655,0.028463346020969005,0.9433310031890869
model-seed_832880-lr_0.0001-ep_4,0.24787961696306426,0.18880936890045552,0.06599580712788267,0.0996057818659658,0.15997848305540618,0.20039210194650603,0.26546593578700084,0.27657818731948836,0.19552626323147604,0.24176121015667207,0.12711430035879034,0.16096661888183506,0.11769619684735973,0.02869857035642409,0.05295184125621655,0.9325678944587708
model-seed_237225-lr_5e-05-ep_5,0.19804058782365286,0.16561181434599148,0.05948297498535937,0.09643514057983715,0.13783178765590032,0.17941546636834005,0.254800673778776,0.25931053578845353,0.18196328810853946,0.21260917030567683,0.11374674096416337,0.1390161930950199,0.10368716786847436,0.061269947964800675,0.04699735595968535,0.9371041059494019
model-seed_855700-lr_7e-05-ep_4,0.21251592807588848,0.16729104766825997,0.057631093985592186,0.10053466561486535,0.1534414259637067,0.19267849657677794,0.25184853237732474,0.2556078648573803,0.2014896119168953,0.23795503211991442,0.12055941200489995,0.13667172483560963,0.11054397731806627,0.04309193678149181,0.07066398445165445,0.8761858940124512
model-seed_520770-lr_0.0001-ep_4,0.23199092456040848,0.23193518881484387,0.065919357537226,0.10182996235005692,0.15866209262435682,0.19484521641686503,0.26176305446378434,0.27827897293546155,0.19655379683430174,0.24783080260303691,0.13450948398939422,0.17269320368682262,0.11969697805032568,0.04628804837505307,0.01589561378819304,0.9256094098091125
model-seed_413156-lr_5e-05-ep_5,0.19627984453081604,0.16517451667315441,0.05539260873208751,0.09458154035303423,0.15486014360733036,0.19190215099114294,0.25472122302158273,0.2658087726580878,0.19107896323086204,0.22881007805011644,0.10834740774860518,0.13858363858363854,0.10620005336267435,0.06952892812727174,0.06363556137696202,0.9075958728790283
model-seed_227312-lr_3e-05-ep_6,0.21142381810619704,0.15125278761642402,0.0550574038380961,0.09407848633496851,0.14566634605108475,0.18629370629370623,0.2424071355989612,0.26222222222222225,0.1811811811811811,0.21138322615952942,0.10706616218427245,0.12965783328256675,0.10259663735781777,0.05079840411602521,0.0601304385431054,0.9233628511428833
model-seed_964347-lr_5e-05-ep_4,0.21540540540540543,0.15101193565127136,0.055630026809651456,0.09574841883345042,0.15073489968887455,0.18889984504859836,0.25514449567075226,0.2621224715987809,0.18256022297431818,0.22004889975550124,0.11181520850367943,0.14045228678632993,0.10606004500073514,0.046717066193375456,0.06903696410422988,0.8886824250221252
model-seed_851308-lr_5e-05-ep_5,0.2079234972677595,0.1907962771458117,0.05405178915612174,0.09370064923670818,0.14106115491157045,0.1878923141302833,0.257012542759407,0.26819708846584533,0.18455106510053754,0.21652847628109284,0.11295918367346935,0.15208777811642793,0.10269070924705385,0.06027359119808584,0.02573219913528113,0.8954083323478699
model-seed_542352-lr_7e-05-ep_5,0.21958620689655184,0.15727391874180874,0.05958266990698058,0.098341959821037,0.1511329628046173,0.1968017954832375,0.24650016799193641,0.270672546857773,0.18502202643171806,0.2226177437020811,0.11642923029619767,0.1525596573526412,0.10904828766926518,0.05108633996122114,0.06534382496027236,0.9238098859786987
model-seed_662779-lr_3e-05-ep_7,0.22438957850225083,0.1618527192297683,0.05332886131142045,0.09001579224425338,0.14694574967962404,0.19207146845337786,0.2548975455978384,0.2620603364382037,0.18385291766586742,0.21328958162428224,0.10516076182674583,0.13538901368184597,0.10181179093926344,0.03767075793595287,0.05143686239451395,0.925140917301178
model-seed_709384-lr_5e-05-ep_6,0.21913580246913567,0.1903540277065161,0.05406084988684945,0.09562171628721539,0.1429790866410584,0.18427655422358513,0.25103618236809666,0.26528914158923855,0.18389423076923084,0.21887713588283153,0.10564354913117024,0.14308992769121098,0.1008944952196927,0.04615333912010289,0.028523108176315426,0.9229088425636292
model-seed_490595-lr_0.0001-ep_7,0.24438241451500353,0.2311020960108181,0.06115951742627346,0.10019335559852349,0.1746813751740388,0.20169371912491174,0.2693442250964374,0.2702324278913468,0.20801295022258204,0.247045891728497,0.1185903983656793,0.15396325992083615,0.11814376365533052,0.025850013376343295,0.0159437957176789,0.956855058670044
model-seed_511085-lr_5e-05-ep_6,0.21377371749824314,0.17830647224354057,0.054600352260337215,0.09392556179775291,0.1500646830530401,0.18665919282511212,0.25338447653429597,0.2651072124756336,0.18227191056099024,0.21704685152301595,0.10724874757182301,0.13797661413319784,0.10397126096173344,0.05133349497739048,0.03874037927947538,0.9205160140991211
model-seed_857908-lr_0.0001-ep_3,0.2278967600219659,0.19105431309904153,0.06248952923437767,0.09973707274320776,0.16071810215858084,0.20005595970900958,0.27693677649154047,0.27912087912087924,0.2071713147410359,0.2378765365392408,0.14249415591015346,0.16597636124861104,0.121900595767704,0.051224119098913334,0.04682222344019926,0.9019966125488281
model-seed_119668-lr_3e-05-ep_3,0.22121253221212522,0.1730313405319991,0.0603880896620943,0.09624824684431976,0.14337801608579093,0.1781818181818181,0.24110141034251176,0.2625760088446655,0.1656101426307448,0.2081300813008129,0.13510216529429708,0.15762014648339506,0.11295609034739411,0.04136347663254025,0.03509874076881381,0.9090564250946045
model-seed_430875-lr_7e-05-ep_6,0.210402545303638,0.2229586426299045,0.057926062536675316,0.09391197399631024,0.1550595557463248,0.183237238081845,0.251205021858536,0.26242902645063004,0.198318991394837,0.23547066848567533,0.1093886350803348,0.14642893739112617,0.10745808445444498,0.05202648114699204,0.012512025855770825,0.9204620122909546
model-seed_168886-lr_3e-05-ep_7,0.20005607738679376,0.15625,0.05365526492287065,0.08916637354906776,0.1360783062027875,0.18103207810320787,0.2408957249491065,0.2487885919977848,0.18036711891460488,0.21493798555267818,0.1024185713555249,0.13147410358565736,0.09738404749372769,0.04873251461099104,0.05868798555267818,0.9338286519050598
model-seed_544712-lr_7e-05-ep_5,0.21460019883539272,0.18612477349210466,0.06326564859875827,0.09612852251777715,0.1781175963816498,0.20174328693940669,0.26636670416197983,0.2762300762300761,0.1894926809705234,0.23563764769794926,0.10939497775277451,0.14212991244145778,0.1169260742443942,0.0616298773946834,0.049512874205844604,0.9387510418891907
model-seed_984406-lr_7e-05-ep_3,0.20078574435246244,0.23289491165138831,0.06101240362051619,0.09697235629662126,0.15189062166203804,0.20112359550561787,0.25036341272503637,0.2648933222499308,0.19291964996022282,0.23229308005427407,0.13601386128522663,0.1607651607651609,0.11630562885592695,0.06410757789746835,-0.0006018315971142441,0.8923572897911072
model-seed_46857-lr_7e-05-ep_3,0.2057323963070138,0.17906976744186043,0.06412188180143985,0.09583991574512896,0.16808441908043503,0.19171564511614891,0.26116799819961733,0.25932085932085924,0.19416116776644676,0.23257720688712769,0.1322848272000815,0.14891458713735028,0.12149704269398547,0.053588463013845455,0.05350743944526726,0.8743497133255005
model-seed_552215-lr_7e-05-ep_6,0.24806201550387597,0.17122488658457546,0.058053691275167796,0.09350877192982465,0.15456398155100293,0.19603185692329195,0.25468080306789986,0.2609422916085866,0.1925241157556269,0.230201066885515,0.114244692852015,0.14303303919556742,0.10895412189272857,0.012880276104710653,0.05897618030093954,0.9339093565940857
model-seed_767795-lr_1e-06-ep_6,0.2614733500859673,0.2616264610793334,0.19203413940256042,0.18922712518641993,0.2653278078843906,0.29311548666387377,0.3124092482966603,0.30435982339955847,0.3013322884012539,0.3417890520694258,0.326822598759705,0.326742364917776,0.2613948486822187,0.04288647331359119,0.08016259099009237,0.8802952766418457
model-seed_940890-lr_3e-05-ep_3,0.20222068008327554,0.16135716135716127,0.0589121338912133,0.093810275293705,0.15227127319257838,0.1870824053452117,0.2391620925282849,0.2521355745384404,0.17665740373163952,0.21868652674339883,0.1314384501957594,0.16221393285613472,0.11420728575985035,0.04991489445516484,0.05732936538623756,0.8876500725746155
model-seed_564375-lr_7e-05-ep_7,0.22730394176624102,0.2133418858242463,0.05791635235939985,0.09408154318281459,0.16456786137121948,0.20056298381421533,0.25704660303200444,0.27891725966234127,0.20628683693516703,0.24874038716520808,0.11139538453666276,0.14672916242103118,0.11129319942242737,0.05161331789610024,0.035398501340961785,0.9361975193023682
model-seed_801889-lr_3e-05-ep_4,0.21498905908096277,0.17542715534107223,0.05425576519916142,0.09151531104676669,0.13976187922342587,0.18012073564509334,0.23946510843915036,0.2614015572858731,0.18045862412761726,0.21188172775582492,0.12328487630706453,0.14276998169615618,0.10576750690988394,0.046412498204910335,0.036454572414752695,0.9000198841094971
model-seed_478474-lr_0.0001-ep_5,0.24173581825601942,0.1885202738283307,0.0621279449987423,0.10152551288795364,0.1728886498117269,0.2038207613428853,0.26742228706093596,0.2739100346020762,0.20726837060702885,0.24570655848546308,0.12201632359735126,0.14828819621870204,0.11901097280260682,0.03217421634605677,0.05718628465713238,0.923734188079834
model-seed_398394-lr_7e-05-ep_7,0.22540030108115494,0.1909126113334194,0.061207401825337016,0.10201940729084702,0.1611039794608473,0.1963636363636363,0.2616968882919185,0.2691296526912965,0.19464428457234206,0.23808226641242158,0.11286196664279136,0.1425937307928703,0.11172444930965857,0.043729351610141576,0.04716965507900217,0.9288821816444397
model-seed_696507-lr_1e-06-ep_7,0.23872855432903306,0.24584470354750687,0.18501170960187352,0.188665962689194,0.2572654155495979,0.29743374000841394,0.32919815044547196,0.3278597272474255,0.3071792859945076,0.3569613481342784,0.3060306910370443,0.2989002356637863,0.24943593872950523,0.08913117291839245,0.1111166445867715,0.882526159286499
model-seed_443294-lr_7e-05-ep_6,0.21129503407984418,0.16402391473875755,0.05674589889521253,0.09310889005786427,0.14276582143618155,0.18792599805258037,0.24898967220475965,0.2584611134134548,0.18886679920477134,0.2244842562432139,0.11488277268093783,0.15532109161002328,0.10479816433744397,0.04716607933361061,0.06046034150445634,0.9299208521842957
model-seed_754633-lr_0.0001-ep_4,0.2373303793962891,0.2098338870431894,0.061162849232318184,0.09844832120627689,0.16723989681857276,0.20174820245312275,0.27573696145124726,0.27729441481897277,0.21515941447764197,0.24309617739083111,0.12609340631234323,0.15726339331096884,0.11816538412107806,0.039964035422683675,0.03326229034764172,0.9313331246376038
model-seed_740068-lr_3e-05-ep_5,0.2060815480304078,0.19118600129617624,0.05441151849991632,0.09129250505228004,0.1404011461318051,0.18624721603563477,0.2431218416619877,0.25882680011120385,0.16832867969684884,0.20897959183673476,0.11852153548518485,0.13767234387672345,0.10444473337230209,0.05274525208079606,0.017793590540558513,0.9061977863311768
model-seed_115450-lr_3e-05-ep_5,0.21083496230103327,0.21139273582440554,0.055197252701231325,0.09154682567520156,0.13865501438772243,0.18132252201873333,0.235406590934653,0.256470588235294,0.1789137380191692,0.21516225797654764,0.10433799342105265,0.12206092823553472,0.09939675350333547,0.04563562593426074,0.003769522152142102,0.8523318767547607
model-seed_636274-lr_7e-05-ep_4,0.227198252321136,0.16603228770179812,0.060755887035950806,0.0954094619503204,0.15740939309457425,0.18781302170283798,0.24610731488742021,0.2706922758048915,0.18276553106212434,0.2221306974190006,0.12428803905614327,0.14170448814926873,0.1141511063955561,0.04349402348375553,0.05609840971720248,0.9020199775695801
model-seed_718283-lr_5e-05-ep_3,0.20530707153604166,0.15480844409695083,0.06001676445934623,0.09616901902340658,0.1413578924823301,0.1859876195835678,0.2609327815680573,0.2691720981833311,0.18207282913165268,0.21343711593609171,0.12332686216409527,0.14756097560975612,0.10823383970192386,0.06386502664728944,0.05862867183914089,0.9064027070999146
model-seed_459777-lr_0.0001-ep_7,0.24103123721184005,0.21791200208279105,0.06366225498408451,0.10633088492479881,0.16623821765209945,0.20712382555041364,0.2662841714478569,0.2649596437517395,0.20871651339464214,0.24905046120455765,0.11365738361936084,0.1425942962281509,0.11451928541851493,0.02392840653989947,0.031138459121766604,0.9437618851661682
model-seed_198745-lr_5e-05-ep_7,0.21432522123893794,0.16919486581096854,0.055569524767412615,0.09484952180398343,0.13971373638111517,0.1853610839502723,0.2509262377905018,0.2602019643104164,0.17715430861723458,0.2076712328767123,0.10819370657948502,0.14279894072112442,0.10115898924267093,0.04587674307147849,0.038476367065743755,0.9369299411773682
model-seed_642612-lr_5e-05-ep_5,0.2024488660080701,0.18450906245925147,0.056398223414061865,0.0921537651395472,0.1455709711846318,0.18961184026808153,0.23991935483870963,0.25556323427781613,0.17618761274804562,0.22100954979536147,0.11626955721443921,0.1336321042982277,0.10607958393771096,0.053114368269746026,0.03650048733611,0.8840511441230774
model-seed_628727-lr_5e-05-ep_4,0.20317283607013636,0.17944765574823374,0.05965147453083108,0.09177048605018423,0.1392540344127392,0.19082902278764158,0.26367713004484294,0.2565834826968152,0.17998804066175,0.21644727914235307,0.12126305067481524,0.14996474972303353,0.10672285320612851,0.053410646626678826,0.03699962339411933,0.9096397161483765
model-seed_917607-lr_7e-05-ep_7,0.22393769640661287,0.2043237542842078,0.05895159939708594,0.10403916768665844,0.1583136158313616,0.19194743464280728,0.2653474252304926,0.27033028032195405,0.19639278557114237,0.22741517917972476,0.10503316024883036,0.13142857142857145,0.10743279182575931,0.04639258391534118,0.023091424895516965,0.9295695424079895
model-seed_208416-lr_5e-05-ep_7,0.19843487982112906,0.1629658485910921,0.055518282455551904,0.0958230958230959,0.14610842726784756,0.18604322644441296,0.2507586827020343,0.2592181868588854,0.19855884707766225,0.22052401746724892,0.105940238839629,0.13633104578510713,0.10252231618767615,0.06078330703775636,0.057558168876156834,0.9217867255210876
model-seed_111316-lr_3e-05-ep_3,0.21384254791120916,0.19711414583870146,0.05770036010384394,0.09663276043493518,0.14023479188900745,0.18494773519163765,0.24090704984283795,0.2660753880266076,0.1829414109206855,0.22564868903681568,0.13184294953404285,0.15459961627789565,0.10992603384229808,0.052232840115398416,0.028534543198114215,0.9127994775772095
model-seed_89477-lr_7e-05-ep_5,0.2417774197878909,0.19411917772573506,0.05816292323164607,0.09620275366131714,0.15820122937560654,0.20045204124876403,0.271842462652784,0.27325742849208556,0.19350310808101057,0.23584131326949387,0.1182961252245317,0.15660435182347532,0.1115534259439281,0.03148000870419465,0.04172213554375881,0.9300841689109802
model-seed_96875-lr_5e-05-ep_6,0.22152516380872722,0.1644018118838263,0.05520650079584477,0.08960070206230797,0.14246019023191203,0.19399213924761372,0.23907165389815233,0.2620172270075021,0.18220084185207452,0.21752183406113546,0.10599456438131372,0.14034369885433706,0.10122041846969017,0.04049206319877485,0.053120022177309156,0.90633225440979
model-seed_452597-lr_3e-05-ep_4,0.2017191182586996,0.16589801027803408,0.05934544237046957,0.09209367846451832,0.13619841778918107,0.18521617852161776,0.24404162470627722,0.25044995154368,0.17740969866294154,0.20649208947081288,0.11947760432608912,0.14793856103476155,0.10500715482857992,0.0487308332849804,0.0405940791927788,0.9097420573234558
model-seed_886259-lr_0.0001-ep_7,0.26532856750068745,0.24920886075949367,0.06186518928901197,0.10127584689837221,0.17466451959205587,0.19949174078780185,0.2635142760410789,0.27835051546391754,0.2161616161616161,0.2539769610532091,0.11455712451861366,0.15576766856214452,0.1170289444665605,0.013021947963230085,0.004768100293715438,0.9522628784179688
